threads,slots,custo_us,total,select,insert,update,delete,duracao_s,throughput_req_s,latencia_media_us,espera_lock_media_us,pior_lock_us
1,64,0,10000,10000,0,0,0,0.090910,109998.9,8.78,0.10,6
1,64,0,10000,10000,0,0,0,0.094592,105717.2,9.10,0.12,29
1,64,0,10000,10000,0,0,0,0.108108,92500.1,10.35,0.12,43
2,64,0,10000,10000,0,0,0,0.281230,35558.1,55.38,0.21,25
2,64,0,10000,10000,0,0,0,0.250111,39982.2,48.75,0.19,21
2,64,0,10000,10000,0,0,0,0.264830,37760.1,51.41,0.17,33
4,64,0,10000,10000,0,0,0,0.242005,41321.5,95.53,0.19,18
4,64,0,10000,10000,0,0,0,0.247122,40465.8,97.64,0.22,140
4,64,0,10000,10000,0,0,0,0.272001,36764.6,107.84,0.23,96
8,64,0,10000,10000,0,0,0,0.233130,42894.5,182.18,0.19,63
8,64,0,10000,10000,0,0,0,0.234615,42623.0,185.37,0.25,283
8,64,0,10000,10000,0,0,0,0.245171,40787.9,193.94,0.23,63
1,64,0,10000,6975,1513,1043,469,0.095312,104918.6,9.16,0.11,17
1,64,0,10000,7024,1497,1036,443,0.115843,86323.7,11.19,0.11,1
1,64,0,10000,7031,1462,1083,424,0.095797,104387.4,9.24,0.11,28
2,64,0,10000,6975,1513,1043,469,0.295613,33828.0,57.50,0.19,59
2,64,0,10000,7024,1497,1036,443,0.284852,35105.9,55.93,0.29,54
2,64,0,10000,7031,1462,1083,424,0.275691,36272.5,53.77,0.18,93
4,64,0,10000,6975,1513,1043,469,0.123603,80904.2,48.17,0.25,491
4,64,0,10000,7024,1497,1036,443,0.276561,36158.4,109.24,0.35,860
4,64,0,10000,7031,1462,1083,424,0.261669,38216.2,102.79,0.28,98
8,64,0,10000,6975,1513,1043,469,0.212885,46973.7,167.59,1.53,492
8,64,0,10000,7024,1497,1036,443,0.252166,39656.4,200.19,0.48,218
8,64,0,10000,7031,1462,1083,424,0.200537,49866.1,158.42,0.83,491
1,64,0,10000,0,5007,3534,1459,0.126139,79277.6,12.29,0.09,3
1,64,0,10000,0,5078,3465,1457,0.103532,96588.5,10.06,0.08,4
1,64,0,10000,0,4995,3556,1449,0.132558,75438.7,12.91,0.09,17
2,64,0,10000,0,5007,3534,1459,0.281668,35502.8,55.88,0.13,25
2,64,0,10000,0,5078,3465,1457,0.277034,36096.7,54.59,0.13,33
2,64,0,10000,0,4995,3556,1449,0.287531,34778.9,56.58,0.14,4
4,64,0,10000,0,5007,3534,1459,0.246912,40500.3,97.46,0.41,387
4,64,0,10000,0,5078,3465,1457,0.253624,39428.4,100.01,0.15,23
4,64,0,10000,0,4995,3556,1449,0.254281,39326.6,100.63,0.34,347
8,64,0,10000,0,5007,3534,1459,0.226526,44145.0,179.71,2.29,1529
8,64,0,10000,0,5078,3465,1457,0.236257,42326.8,187.23,0.63,286
8,64,0,10000,0,4995,3556,1449,0.247970,40327.5,196.80,5.48,910
1,64,200,10000,10000,0,0,0,2.226502,4491.4,222.30,0.17,21
1,64,200,10000,10000,0,0,0,2.218917,4506.7,221.54,0.15,1
1,64,200,10000,10000,0,0,0,2.219793,4504.9,221.66,0.18,19
2,64,200,10000,10000,0,0,0,1.143584,8744.4,228.16,0.17,4
2,64,200,10000,10000,0,0,0,1.130106,8848.7,225.57,0.17,18
2,64,200,10000,10000,0,0,0,1.131601,8837.0,225.82,0.17,29
4,64,200,10000,10000,0,0,0,0.563062,17760.0,224.63,0.15,34
4,64,200,10000,10000,0,0,0,0.567485,17621.6,226.34,0.16,18
4,64,200,10000,10000,0,0,0,0.564296,17721.2,224.97,0.15,2
8,64,200,10000,10000,0,0,0,0.554327,18039.9,435.20,0.13,19
8,64,200,10000,10000,0,0,0,0.556536,17968.3,441.92,0.15,18
8,64,200,10000,10000,0,0,0,0.570203,17537.6,451.11,0.12,16
1,64,200,10000,6975,1513,1043,469,2.208716,4527.5,220.54,0.15,17
1,64,200,10000,7024,1497,1036,443,2.213778,4517.2,221.06,0.17,94
1,64,200,10000,7031,1462,1083,424,2.229266,4485.8,222.57,0.15,59
2,64,200,10000,6975,1513,1043,469,1.610223,6210.3,321.54,88.20,1613
2,64,200,10000,7024,1497,1036,443,1.613733,6196.8,322.24,88.03,3719
2,64,200,10000,7031,1462,1083,424,1.608364,6217.5,321.19,88.10,3559
4,64,200,10000,6975,1513,1043,469,1.548560,6457.6,618.38,368.52,6255
4,64,200,10000,7024,1497,1036,443,1.509839,6623.2,603.37,354.14,6533
4,64,200,10000,7031,1462,1083,424,1.500779,6663.2,599.69,351.61,7455
8,64,200,10000,6975,1513,1043,469,1.471646,6795.1,1176.48,931.03,13508
8,64,200,10000,7024,1497,1036,443,1.450979,6891.9,1160.00,916.25,19251
8,64,200,10000,7031,1462,1083,424,1.461979,6840.0,1168.51,924.80,13867
1,64,200,10000,0,5007,3534,1459,2.218201,4508.2,221.49,0.11,2
1,64,200,10000,0,5078,3465,1457,2.227860,4488.6,222.50,0.12,30
1,64,200,10000,0,4995,3556,1449,2.249219,4446.0,224.55,0.14,23
2,64,200,10000,0,5007,3534,1459,2.233724,4476.8,446.21,204.70,3575
2,64,200,10000,0,5078,3465,1457,2.255786,4433.0,450.63,208.36,3053
2,64,200,10000,0,4995,3556,1449,2.243039,4458.2,448.12,207.63,2124
4,64,200,10000,0,5007,3534,1459,2.579082,3877.3,1030.97,785.90,61808
4,64,200,10000,0,5078,3465,1457,2.545815,3928.0,1017.72,774.08,66268
4,64,200,10000,0,4995,3556,1449,2.518312,3970.9,1006.71,764.72,65089
8,64,200,10000,0,5007,3534,1459,2.557113,3910.7,2044.55,1799.23,186478
8,64,200,10000,0,5078,3465,1457,2.533255,3947.5,2025.45,1782.29,133779
8,64,200,10000,0,4995,3556,1449,2.553832,3915.7,2041.87,1799.02,183137
4,64,0,15,7,4,2,2,0.000373,40214.5,111.53,0.07,1
4,64,0,1200,827,194,134,45,0.016380,73260.1,53.77,0.27,71
